date,region,category,units,unit_price,marketing_spend,signups
2024-01-31,North,Electronics,120,45.00,5000,210
2024-01-31,South,Electronics,98,45.00,4200,180
2024-01-31,East,Apparel,150,25.00,3000,140
2024-01-31,West,Apparel,110,25.00,2800,130
2024-02-29,North,Electronics,135,45.00,5500,235
2024-02-29,South,Electronics,105,45.00,4600,195
2024-02-29,East,Apparel,160,25.00,3200,150
2024-02-29,West,Apparel,120,25.00,3000,138
2024-03-31,North,Electronics,150,44.00,6000,260
2024-03-31,South,Electronics,112,44.00,4800,205
2024-03-31,East,Apparel,175,24.50,3500,165
2024-03-31,West,Apparel,130,24.50,3200,150
2024-04-30,North,Electronics,142,44.00,5800,250
2024-04-30,South,Electronics,120,44.00,5000,215
2024-04-30,East,Apparel,168,24.50,3400,160
2024-04-30,West,Apparel,125,24.50,3100,145
2024-05-31,North,Electronics,158,43.00,6200,275
2024-05-31,South,Electronics,128,43.00,5200,225
2024-05-31,East,Apparel,182,24.00,3700,172
2024-05-31,West,Apparel,138,24.00,3300,158
2024-06-30,North,Electronics,165,43.00,6500,290
2024-06-30,South,Electronics,134,43.00,5400,235
2024-06-30,East,Apparel,190,24.00,3900,180
2024-06-30,West,Apparel,145,24.00,3500,165
